method,dwin,%ERRORdwin
LogisticRegression,0,0.4489795918367347
LogisticRegression(-year),0,0.42857142857142855
SVC,0,0.46938775510204084
SVC(-year),0,0.46938775510204084
KNeighborsClassifier,0,0.2653061224489796
KNeighborsClassifier(-year),0,0.3469387755102041
DecisionTreeClassifier,0,0.30612244897959184
DecisionTreeClassifier(-year),0,0.42857142857142855
RandomForestClassifier,0,0.4489795918367347
RandomForestClassifier(-year),0,0.3877551020408163
GradientBoostingClassifier,1,0.3877551020408163
GradientBoostingClassifier(-year),0,0.3877551020408163
AdaBoostClassifier,1,0.4897959183673469
AdaBoostClassifier(-year),1,0.5102040816326531
GaussianNB,1,0.3673469387755102
GaussianNB(-year),1,0.32653061224489793
MultinomialNB,1,0.3877551020408163
MultinomialNB(-year),0,0.3469387755102041
BernoulliNB,0,0.3877551020408163
BernoulliNB(-year),0,0.3877551020408163
ExtraTreesClassifier,0,0.3469387755102041
ExtraTreesClassifier(-year),0,0.3469387755102041
LinearDiscriminantAnalysis,0,0.46938775510204084
LinearDiscriminantAnalysis(-year),0,0.40816326530612246
QuadraticDiscriminantAnalysis,1,0.3877551020408163
QuadraticDiscriminantAnalysis(-year),0,0.6122448979591837
SGDClassifier,1,0.42857142857142855
SGDClassifier(-year),1,0.3673469387755102
PassiveAggressiveClassifier,1,0.5102040816326531
PassiveAggressiveClassifier(-year),1,0.4489795918367347
Perceptron,1,0.42857142857142855
Perceptron(-year),1,0.4897959183673469
BaggingClassifier,0,0.3877551020408163
BaggingClassifier(-year),0,0.3673469387755102
NearestCentroid,1,0.4489795918367347
NearestCentroid(-year),1,0.4897959183673469
RidgeClassifier,0,0.4897959183673469
RidgeClassifier(-year),0,0.46938775510204084
MLPClassifier(identity,sgd),0,0
MLPClassifier(-year),0,0.30612244897959184